age,sex,erhverv,arbtim,height,bmikat,selfemp,bmi30
64,1,NA,NA,NA,NA,NA,NA
51,1,1,37,189,2,0,0
57,1,1,45,180,2,0,0
50,0,1,37,171,2,0,0
37,0,1,35,164,2,0,0
28,0,6,37,162,2,0,0
26,1,1,40,184,2,0,0
60,0,1,37,170,2,0,0
38,1,NA,NA,NA,NA,NA,NA
44,1,1,37,174,2,0,0
45,1,1,35,188,3,0,0
50,0,1,40,162,2,0,0
37,1,1,41,183,3,0,0
22,1,1,60,188,3,0,0
19,1,NA,NA,NA,NA,NA,NA
35,1,NA,NA,NA,NA,NA,NA
62,1,1,37,168,4,0,1
43,1,NA,NA,NA,NA,NA,NA
61,1,1,40,168,2,0,0
44,0,2,15,171,4,0,1
25,1,NA,NA,NA,NA,NA,NA
56,0,NA,NA,NA,NA,NA,NA
48,1,NA,NA,NA,NA,NA,NA
60,1,NA,NA,NA,NA,NA,NA
43,0,1,40,172,2,0,0
38,0,NA,NA,NA,NA,NA,NA
23,0,1,40,169,2,0,0
58,0,1,37,165,2,0,0
60,0,1,33,165,2,0,0
41,0,1,37,170,2,0,0
56,0,2,20,160,3,0,0
48,0,1,32,167,3,0,0
31,0,1,50,170,2,0,0
36,1,1,37,184,3,0,0
63,0,NA,NA,NA,NA,NA,NA
35,1,1,40,185,2,0,0
21,1,NA,NA,NA,NA,NA,NA
30,0,2,34,160,1,0,0
24,0,1,80,178,3,0,0
27,1,NA,NA,NA,NA,NA,NA
55,0,1,37,163,3,0,0
46,0,NA,NA,NA,NA,NA,NA
45,0,1,50,164,1,0,0
41,1,1,42,187,4,0,1
61,0,NA,NA,NA,NA,NA,NA
52,0,1,40,170,4,0,1
33,1,NA,NA,NA,NA,NA,NA
51,1,1,37,186,3,0,0
58,0,1,32,164,3,0,0
21,1,9,40,199,2,0,0
48,1,NA,NA,NA,NA,NA,NA
62,0,NA,NA,NA,NA,NA,NA
44,0,NA,NA,NA,NA,NA,NA
20,0,NA,NA,NA,NA,NA,NA
51,1,1,39,185,3,0,0
32,1,NA,NA,NA,NA,NA,NA
39,0,1,39,156,4,0,1
34,1,1,45,182,1,0,0
45,1,1,37,187,2,0,0
62,0,NA,NA,NA,NA,NA,NA
28,0,NA,NA,NA,NA,NA,NA
54,0,1,37,158,2,0,0
31,1,NA,NA,NA,NA,NA,NA
28,1,1,43,185,3,0,0
43,1,1,40,179,2,0,0
50,0,1,33,160,3,0,0
30,0,NA,NA,NA,NA,NA,NA
31,1,1,37,168,2,0,0
38,0,NA,NA,NA,NA,NA,NA
37,0,1,33,999,NA,0,NA
41,0,1,37,167,2,0,0
59,0,1,40,168,3,0,0
27,1,NA,NA,NA,NA,NA,NA
34,1,1,37,190,2,0,0
55,0,NA,NA,NA,NA,NA,NA
55,1,1,37,172,3,0,0
28,0,1,35,175,3,0,0
56,0,1,50,164,3,0,0
36,0,1,37,172,1,0,0
55,1,NA,NA,NA,NA,NA,NA
43,1,NA,NA,NA,NA,NA,NA
52,0,1,60,169,4,0,1
38,1,NA,NA,NA,NA,NA,NA
33,1,1,45,183,2,0,0
43,0,1,41,171,2,0,0
34,0,1,45,167,2,0,0
54,1,1,37,190,2,0,0
58,0,1,43,160,2,0,0
53,0,1,35,150,3,0,0
63,1,1,38,182,3,0,0
48,0,2,28,168,1,0,0
23,0,1,30,163,3,0,0
47,1,1,37,184,2,0,0
37,0,1,32,164,2,0,0
41,0,2,28,167,1,0,0
54,0,1,45,167,3,0,0
46,0,NA,NA,NA,NA,NA,NA
32,0,1,20,163,3,0,0
58,0,1,37,168,2,0,0
55,1,NA,NA,NA,NA,NA,NA
45,0,1,40,178,1,0,0
38,0,NA,NA,NA,NA,NA,NA
50,1,3,45,191,2,1,0
32,1,NA,NA,NA,NA,NA,NA
59,1,1,42,173,2,0,0
53,1,NA,NA,NA,NA,NA,NA
56,0,1,40,171,2,0,0
26,1,1,63,184,3,0,0
34,1,1,40,193,1,0,0
56,1,1,42,183,3,0,0
43,0,1,32,165,2,0,0
35,1,NA,NA,NA,NA,NA,NA
33,1,NA,NA,NA,NA,NA,NA
30,0,1,45,170,1,0,0
34,1,1,45,188,2,0,0
51,1,NA,NA,NA,NA,NA,NA
45,0,NA,NA,NA,NA,NA,NA
20,1,2,15,194,2,0,0
24,1,NA,NA,NA,NA,NA,NA
33,1,1,37,181,2,0,0
21,0,1,37,157,2,0,0
59,1,1,41,172,3,0,0
57,0,2,21,167,3,0,0
29,1,NA,NA,NA,NA,NA,NA
44,1,NA,NA,NA,NA,NA,NA
50,0,1,37,163,2,0,0
43,0,9,37,162,4,0,1
50,1,1,41,178,3,0,0
39,0,2,28,150,2,0,0
39,0,1,48,172,1,0,0
50,0,1,40,165,2,0,0
44,0,NA,NA,NA,NA,NA,NA
38,0,NA,NA,NA,NA,NA,NA
58,1,NA,NA,NA,NA,NA,NA
30,1,NA,NA,NA,NA,NA,NA
39,1,1,42,172,2,0,0
62,0,3,32,172,2,1,0
28,1,1,40,999,NA,0,NA
60,0,1,32,160,3,0,0
56,0,NA,NA,NA,NA,NA,NA
51,0,1,37,164,2,0,0
57,0,1,37,164,3,0,0
61,1,1,37,182,3,0,0
23,1,NA,NA,NA,NA,NA,NA
50,1,1,37,187,3,0,0
41,1,1,37,183,4,0,1
25,1,1,50,190,3,0,0
52,0,1,37,172,2,0,0
42,1,NA,NA,NA,NA,NA,NA
