"","height","books","receipt","petowner","dog","cat","bird","fish","rodent","snake","turtle","other","gender","region","year"
"206",189,20,173.3,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2025
"207",167,30,85,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2025
"208",183,16,200,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2025
"209",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025
"210",175,50,233,2,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2025
"211",168,10,122.25,2,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2025
"212",175,83,119.95,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2025
"213",172,20,103.65,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2025
"214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025
"215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025
"216",164,43,381,2,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2025
"217",169,22,154.27,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2025
